"region","utländsk/svensk bakgrund","ålder","år","Antal personer"
"0114 Upplands Väsby","utländsk bakgrund","18-67","2014",10564
"0114 Upplands Väsby","utländsk bakgrund","18-67","2024",16881
"0115 Vallentuna","utländsk bakgrund","18-67","2014",3741
"0115 Vallentuna","utländsk bakgrund","18-67","2024",5506
"0117 Österåker","utländsk bakgrund","18-67","2014",5045
"0117 Österåker","utländsk bakgrund","18-67","2024",8141
"0120 Värmdö","utländsk bakgrund","18-67","2014",4431
"0120 Värmdö","utländsk bakgrund","18-67","2024",6084
"0123 Järfälla","utländsk bakgrund","18-67","2014",18184
"0123 Järfälla","utländsk bakgrund","18-67","2024",32972
"0125 Ekerö","utländsk bakgrund","18-67","2014",2584
"0125 Ekerö","utländsk bakgrund","18-67","2024",3556
"0126 Huddinge","utländsk bakgrund","18-67","2014",28223
"0126 Huddinge","utländsk bakgrund","18-67","2024",35859
"0127 Botkyrka","utländsk bakgrund","18-67","2014",35896
"0127 Botkyrka","utländsk bakgrund","18-67","2024",42729
"0128 Salem","utländsk bakgrund","18-67","2014",2696
"0128 Salem","utländsk bakgrund","18-67","2024",4308
"0136 Haninge","utländsk bakgrund","18-67","2014",19466
"0136 Haninge","utländsk bakgrund","18-67","2024",29974
"0138 Tyresö","utländsk bakgrund","18-67","2014",6597
"0138 Tyresö","utländsk bakgrund","18-67","2024",8445
"0139 Upplands-Bro","utländsk bakgrund","18-67","2014",5634
"0139 Upplands-Bro","utländsk bakgrund","18-67","2024",10549
"0140 Nykvarn","utländsk bakgrund","18-67","2014",1165
"0140 Nykvarn","utländsk bakgrund","18-67","2024",1923
"0160 Täby","utländsk bakgrund","18-67","2014",9301
"0160 Täby","utländsk bakgrund","18-67","2024",14179
"0162 Danderyd","utländsk bakgrund","18-67","2014",4012
"0162 Danderyd","utländsk bakgrund","18-67","2024",4782
"0163 Sollentuna","utländsk bakgrund","18-67","2014",14665
"0163 Sollentuna","utländsk bakgrund","18-67","2024",22024
"0180 Stockholm","utländsk bakgrund","18-67","2014",211772
"0180 Stockholm","utländsk bakgrund","18-67","2024",262047
"0181 Södertälje","utländsk bakgrund","18-67","2014",32026
"0181 Södertälje","utländsk bakgrund","18-67","2024",44059
"0182 Nacka","utländsk bakgrund","18-67","2014",16569
"0182 Nacka","utländsk bakgrund","18-67","2024",21386
"0183 Sundbyberg","utländsk bakgrund","18-67","2014",12784
"0183 Sundbyberg","utländsk bakgrund","18-67","2024",19967
"0184 Solna","utländsk bakgrund","18-67","2014",20575
"0184 Solna","utländsk bakgrund","18-67","2024",29826
"0186 Lidingö","utländsk bakgrund","18-67","2014",6102
"0186 Lidingö","utländsk bakgrund","18-67","2024",7722
"0187 Vaxholm","utländsk bakgrund","18-67","2014",1028
"0187 Vaxholm","utländsk bakgrund","18-67","2024",1139
"0188 Norrtälje","utländsk bakgrund","18-67","2014",5225
"0188 Norrtälje","utländsk bakgrund","18-67","2024",7913
"0191 Sigtuna","utländsk bakgrund","18-67","2014",11861
"0191 Sigtuna","utländsk bakgrund","18-67","2024",19114
"0192 Nynäshamn","utländsk bakgrund","18-67","2014",3593
"0192 Nynäshamn","utländsk bakgrund","18-67","2024",5693
"0305 Håbo","utländsk bakgrund","18-67","2014",2591
"0305 Håbo","utländsk bakgrund","18-67","2024",3741
"0319 Älvkarleby","utländsk bakgrund","18-67","2014",972
"0319 Älvkarleby","utländsk bakgrund","18-67","2024",1183
"0330 Knivsta","utländsk bakgrund","18-67","2014",1541
"0330 Knivsta","utländsk bakgrund","18-67","2024",3456
"0331 Heby","utländsk bakgrund","18-67","2014",1100
"0331 Heby","utländsk bakgrund","18-67","2024",1632
"0360 Tierp","utländsk bakgrund","18-67","2014",1629
"0360 Tierp","utländsk bakgrund","18-67","2024",2328
"0380 Uppsala","utländsk bakgrund","18-67","2014",35381
"0380 Uppsala","utländsk bakgrund","18-67","2024",54771
"0381 Enköping","utländsk bakgrund","18-67","2014",4308
"0381 Enköping","utländsk bakgrund","18-67","2024",7436
"0382 Östhammar","utländsk bakgrund","18-67","2014",1485
"0382 Östhammar","utländsk bakgrund","18-67","2024",1852
"0428 Vingåker","utländsk bakgrund","18-67","2014",767
"0428 Vingåker","utländsk bakgrund","18-67","2024",941
"0461 Gnesta","utländsk bakgrund","18-67","2014",1020
"0461 Gnesta","utländsk bakgrund","18-67","2024",1389
"0480 Nyköping","utländsk bakgrund","18-67","2014",5829
"0480 Nyköping","utländsk bakgrund","18-67","2024",8733
"0481 Oxelösund","utländsk bakgrund","18-67","2014",1737
"0481 Oxelösund","utländsk bakgrund","18-67","2024",2026
"0482 Flen","utländsk bakgrund","18-67","2014",2427
"0482 Flen","utländsk bakgrund","18-67","2024",2810
"0483 Katrineholm","utländsk bakgrund","18-67","2014",4483
"0483 Katrineholm","utländsk bakgrund","18-67","2024",5871
"0484 Eskilstuna","utländsk bakgrund","18-67","2014",21089
"0484 Eskilstuna","utländsk bakgrund","18-67","2024",26929
"0486 Strängnäs","utländsk bakgrund","18-67","2014",3831
"0486 Strängnäs","utländsk bakgrund","18-67","2024",5910
"0488 Trosa","utländsk bakgrund","18-67","2014",1291
"0488 Trosa","utländsk bakgrund","18-67","2024",1966
"0509 Ödeshög","utländsk bakgrund","18-67","2014",357
"0509 Ödeshög","utländsk bakgrund","18-67","2024",474
"0512 Ydre","utländsk bakgrund","18-67","2014",221
"0512 Ydre","utländsk bakgrund","18-67","2024",269
"0513 Kinda","utländsk bakgrund","18-67","2014",535
"0513 Kinda","utländsk bakgrund","18-67","2024",732
"0560 Boxholm","utländsk bakgrund","18-67","2014",295
"0560 Boxholm","utländsk bakgrund","18-67","2024",481
"0561 Åtvidaberg","utländsk bakgrund","18-67","2014",568
"0561 Åtvidaberg","utländsk bakgrund","18-67","2024",806
"0562 Finspång","utländsk bakgrund","18-67","2014",2261
"0562 Finspång","utländsk bakgrund","18-67","2024",3000
"0563 Valdemarsvik","utländsk bakgrund","18-67","2014",483
"0563 Valdemarsvik","utländsk bakgrund","18-67","2024",609
"0580 Linköping","utländsk bakgrund","18-67","2014",20583
"0580 Linköping","utländsk bakgrund","18-67","2024",29899
"0581 Norrköping","utländsk bakgrund","18-67","2014",21482
"0581 Norrköping","utländsk bakgrund","18-67","2024",29459
"0582 Söderköping","utländsk bakgrund","18-67","2014",652
"0582 Söderköping","utländsk bakgrund","18-67","2024",880
"0583 Motala","utländsk bakgrund","18-67","2014",4601
"0583 Motala","utländsk bakgrund","18-67","2024",5706
"0584 Vadstena","utländsk bakgrund","18-67","2014",447
"0584 Vadstena","utländsk bakgrund","18-67","2024",552
"0586 Mjölby","utländsk bakgrund","18-67","2014",1916
"0586 Mjölby","utländsk bakgrund","18-67","2024",3374
"0604 Aneby","utländsk bakgrund","18-67","2014",501
"0604 Aneby","utländsk bakgrund","18-67","2024",724
"0617 Gnosjö","utländsk bakgrund","18-67","2014",1954
"0617 Gnosjö","utländsk bakgrund","18-67","2024",2144
"0642 Mullsjö","utländsk bakgrund","18-67","2014",535
"0642 Mullsjö","utländsk bakgrund","18-67","2024",769
"0643 Habo","utländsk bakgrund","18-67","2014",592
"0643 Habo","utländsk bakgrund","18-67","2024",991
"0662 Gislaved","utländsk bakgrund","18-67","2014",4937
"0662 Gislaved","utländsk bakgrund","18-67","2024",6686
"0665 Vaggeryd","utländsk bakgrund","18-67","2014",1683
"0665 Vaggeryd","utländsk bakgrund","18-67","2024",2537
"0680 Jönköping","utländsk bakgrund","18-67","2014",18991
"0680 Jönköping","utländsk bakgrund","18-67","2024",29626
"0682 Nässjö","utländsk bakgrund","18-67","2014",3532
"0682 Nässjö","utländsk bakgrund","18-67","2024",5585
"0683 Värnamo","utländsk bakgrund","18-67","2014",5382
"0683 Värnamo","utländsk bakgrund","18-67","2024",6789
"0684 Sävsjö","utländsk bakgrund","18-67","2014",1299
"0684 Sävsjö","utländsk bakgrund","18-67","2024",1873
"0685 Vetlanda","utländsk bakgrund","18-67","2014",2576
"0685 Vetlanda","utländsk bakgrund","18-67","2024",3844
"0686 Eksjö","utländsk bakgrund","18-67","2014",1385
"0686 Eksjö","utländsk bakgrund","18-67","2024",2208
"0687 Tranås","utländsk bakgrund","18-67","2014",1657
"0687 Tranås","utländsk bakgrund","18-67","2024",2519
"0760 Uppvidinge","utländsk bakgrund","18-67","2014",1236
"0760 Uppvidinge","utländsk bakgrund","18-67","2024",1617
"0761 Lessebo","utländsk bakgrund","18-67","2014",1229
"0761 Lessebo","utländsk bakgrund","18-67","2024",1595
"0763 Tingsryd","utländsk bakgrund","18-67","2014",1126
"0763 Tingsryd","utländsk bakgrund","18-67","2024",1676
"0764 Alvesta","utländsk bakgrund","18-67","2014",2652
"0764 Alvesta","utländsk bakgrund","18-67","2024",3463
"0765 Älmhult","utländsk bakgrund","18-67","2014",2144
"0765 Älmhult","utländsk bakgrund","18-67","2024",3693
"0767 Markaryd","utländsk bakgrund","18-67","2014",1365
"0767 Markaryd","utländsk bakgrund","18-67","2024",1964
"0780 Växjö","utländsk bakgrund","18-67","2014",12773
"0780 Växjö","utländsk bakgrund","18-67","2024",18836
"0781 Ljungby","utländsk bakgrund","18-67","2014",3588
"0781 Ljungby","utländsk bakgrund","18-67","2024",4911
"0821 Högsby","utländsk bakgrund","18-67","2014",728
"0821 Högsby","utländsk bakgrund","18-67","2024",1010
"0834 Torsås","utländsk bakgrund","18-67","2014",465
"0834 Torsås","utländsk bakgrund","18-67","2024",603
"0840 Mörbylånga","utländsk bakgrund","18-67","2014",689
"0840 Mörbylånga","utländsk bakgrund","18-67","2024",1129
"0860 Hultsfred","utländsk bakgrund","18-67","2014",1604
"0860 Hultsfred","utländsk bakgrund","18-67","2024",2244
"0861 Mönsterås","utländsk bakgrund","18-67","2014",1018
"0861 Mönsterås","utländsk bakgrund","18-67","2024",1425
"0862 Emmaboda","utländsk bakgrund","18-67","2014",940
"0862 Emmaboda","utländsk bakgrund","18-67","2024",1449
"0880 Kalmar","utländsk bakgrund","18-67","2014",6316
"0880 Kalmar","utländsk bakgrund","18-67","2024",10555
"0881 Nybro","utländsk bakgrund","18-67","2014",2149
"0881 Nybro","utländsk bakgrund","18-67","2024",3161
"0882 Oskarshamn","utländsk bakgrund","18-67","2014",2518
"0882 Oskarshamn","utländsk bakgrund","18-67","2024",3620
"0883 Västervik","utländsk bakgrund","18-67","2014",2594
"0883 Västervik","utländsk bakgrund","18-67","2024",3602
"0884 Vimmerby","utländsk bakgrund","18-67","2014",1053
"0884 Vimmerby","utländsk bakgrund","18-67","2024",1688
"0885 Borgholm","utländsk bakgrund","18-67","2014",629
"0885 Borgholm","utländsk bakgrund","18-67","2024",814
"0980 Gotland","utländsk bakgrund","18-67","2014",2639
"0980 Gotland","utländsk bakgrund","18-67","2024",4636
"1060 Olofström","utländsk bakgrund","18-67","2014",2404
"1060 Olofström","utländsk bakgrund","18-67","2024",2653
"1080 Karlskrona","utländsk bakgrund","18-67","2014",6083
"1080 Karlskrona","utländsk bakgrund","18-67","2024",7801
"1081 Ronneby","utländsk bakgrund","18-67","2014",2766
"1081 Ronneby","utländsk bakgrund","18-67","2024",3963
"1082 Karlshamn","utländsk bakgrund","18-67","2014",2843
"1082 Karlshamn","utländsk bakgrund","18-67","2024",3878
"1083 Sölvesborg","utländsk bakgrund","18-67","2014",1572
"1083 Sölvesborg","utländsk bakgrund","18-67","2024",1803
"1214 Svalöv","utländsk bakgrund","18-67","2014",1663
"1214 Svalöv","utländsk bakgrund","18-67","2024",2447
"1230 Staffanstorp","utländsk bakgrund","18-67","2014",2446
"1230 Staffanstorp","utländsk bakgrund","18-67","2024",4297
"1231 Burlöv","utländsk bakgrund","18-67","2014",4681
"1231 Burlöv","utländsk bakgrund","18-67","2024",6891
"1233 Vellinge","utländsk bakgrund","18-67","2014",2255
"1233 Vellinge","utländsk bakgrund","18-67","2024",3282
"1256 Östra Göinge","utländsk bakgrund","18-67","2014",1343
"1256 Östra Göinge","utländsk bakgrund","18-67","2024",1901
"1257 Örkelljunga","utländsk bakgrund","18-67","2014",1163
"1257 Örkelljunga","utländsk bakgrund","18-67","2024",1555
"1260 Bjuv","utländsk bakgrund","18-67","2014",2681
"1260 Bjuv","utländsk bakgrund","18-67","2024",3910
"1261 Kävlinge","utländsk bakgrund","18-67","2014",2319
"1261 Kävlinge","utländsk bakgrund","18-67","2024",3419
"1262 Lomma","utländsk bakgrund","18-67","2014",1532
"1262 Lomma","utländsk bakgrund","18-67","2024",2255
"1263 Svedala","utländsk bakgrund","18-67","2014",1693
"1263 Svedala","utländsk bakgrund","18-67","2024",2974
"1264 Skurup","utländsk bakgrund","18-67","2014",1483
"1264 Skurup","utländsk bakgrund","18-67","2024",2260
"1265 Sjöbo","utländsk bakgrund","18-67","2014",1433
"1265 Sjöbo","utländsk bakgrund","18-67","2024",1908
"1266 Hörby","utländsk bakgrund","18-67","2014",1386
"1266 Hörby","utländsk bakgrund","18-67","2024",1801
"1267 Höör","utländsk bakgrund","18-67","2014",1408
"1267 Höör","utländsk bakgrund","18-67","2024",1780
"1270 Tomelilla","utländsk bakgrund","18-67","2014",1051
"1270 Tomelilla","utländsk bakgrund","18-67","2024",1610
"1272 Bromölla","utländsk bakgrund","18-67","2014",1290
"1272 Bromölla","utländsk bakgrund","18-67","2024",1809
"1273 Osby","utländsk bakgrund","18-67","2014",1300
"1273 Osby","utländsk bakgrund","18-67","2024",1871
"1275 Perstorp","utländsk bakgrund","18-67","2014",1190
"1275 Perstorp","utländsk bakgrund","18-67","2024",1525
"1276 Klippan","utländsk bakgrund","18-67","2014",2088
"1276 Klippan","utländsk bakgrund","18-67","2024",2942
"1277 Åstorp","utländsk bakgrund","18-67","2014",2906
"1277 Åstorp","utländsk bakgrund","18-67","2024",4297
"1278 Båstad","utländsk bakgrund","18-67","2014",1248
"1278 Båstad","utländsk bakgrund","18-67","2024",1818
"1280 Malmö","utländsk bakgrund","18-67","2014",96406
"1280 Malmö","utländsk bakgrund","18-67","2024",129171
"1281 Lund","utländsk bakgrund","18-67","2014",20451
"1281 Lund","utländsk bakgrund","18-67","2024",28762
"1282 Landskrona","utländsk bakgrund","18-67","2014",9947
"1282 Landskrona","utländsk bakgrund","18-67","2024",12050
"1283 Helsingborg","utländsk bakgrund","18-67","2014",27393
"1283 Helsingborg","utländsk bakgrund","18-67","2024",40893
"1284 Höganäs","utländsk bakgrund","18-67","2014",2355
"1284 Höganäs","utländsk bakgrund","18-67","2024",3417
"1285 Eslöv","utländsk bakgrund","18-67","2014",4610
"1285 Eslöv","utländsk bakgrund","18-67","2024",6857
"1286 Ystad","utländsk bakgrund","18-67","2014",2076
"1286 Ystad","utländsk bakgrund","18-67","2024",3007
"1287 Trelleborg","utländsk bakgrund","18-67","2014",5972
"1287 Trelleborg","utländsk bakgrund","18-67","2024",8177
"1290 Kristianstad","utländsk bakgrund","18-67","2014",11293
"1290 Kristianstad","utländsk bakgrund","18-67","2024",15819
"1291 Simrishamn","utländsk bakgrund","18-67","2014",1455
"1291 Simrishamn","utländsk bakgrund","18-67","2024",1895
"1292 Ängelholm","utländsk bakgrund","18-67","2014",3629
"1292 Ängelholm","utländsk bakgrund","18-67","2024",5459
"1293 Hässleholm","utländsk bakgrund","18-67","2014",5805
"1293 Hässleholm","utländsk bakgrund","18-67","2024",8190
"1315 Hylte","utländsk bakgrund","18-67","2014",1727
"1315 Hylte","utländsk bakgrund","18-67","2024",2031
"1380 Halmstad","utländsk bakgrund","18-67","2014",14184
"1380 Halmstad","utländsk bakgrund","18-67","2024",20347
"1381 Laholm","utländsk bakgrund","18-67","2014",2160
"1381 Laholm","utländsk bakgrund","18-67","2024",3391
"1382 Falkenberg","utländsk bakgrund","18-67","2014",4465
"1382 Falkenberg","utländsk bakgrund","18-67","2024",6454
"1383 Varberg","utländsk bakgrund","18-67","2014",5111
"1383 Varberg","utländsk bakgrund","18-67","2024",7284
"1384 Kungsbacka","utländsk bakgrund","18-67","2014",4675
"1384 Kungsbacka","utländsk bakgrund","18-67","2024",6978
"1401 Härryda","utländsk bakgrund","18-67","2014",3528
"1401 Härryda","utländsk bakgrund","18-67","2024",5136
"1402 Partille","utländsk bakgrund","18-67","2014",5423
"1402 Partille","utländsk bakgrund","18-67","2024",8635
"1407 Öckerö","utländsk bakgrund","18-67","2014",468
"1407 Öckerö","utländsk bakgrund","18-67","2024",658
"1415 Stenungsund","utländsk bakgrund","18-67","2014",1987
"1415 Stenungsund","utländsk bakgrund","18-67","2024",2890
"1419 Tjörn","utländsk bakgrund","18-67","2014",897
"1419 Tjörn","utländsk bakgrund","18-67","2024",1235
"1421 Orust","utländsk bakgrund","18-67","2014",833
"1421 Orust","utländsk bakgrund","18-67","2024",1154
"1427 Sotenäs","utländsk bakgrund","18-67","2014",561
"1427 Sotenäs","utländsk bakgrund","18-67","2024",798
"1430 Munkedal","utländsk bakgrund","18-67","2014",801
"1430 Munkedal","utländsk bakgrund","18-67","2024",1017
"1435 Tanum","utländsk bakgrund","18-67","2014",960
"1435 Tanum","utländsk bakgrund","18-67","2024",1211
"1438 Dals-Ed","utländsk bakgrund","18-67","2014",539
"1438 Dals-Ed","utländsk bakgrund","18-67","2024",500
